-5	-7.1581192	106	21.560343	-2.6
-4	-6.8178215	128	21.516994	2.6
2.3	0.31782165	126	20.617426	-2.6
3.7	0.65811908	126	20.574717	2.6
-1.3	-6.4776502	110	21.473722	-2.6
0.3	-6.1375928	128	21.430525	2.6
-2.3	-8.520812	117	21.734608	-2.6
-0.7	-8.1798887	130	21.690901	2.6
3	-5.797637	113	21.387396	-2.6
4.6	-5.4577708	124	21.34433	2.6
2	-7.8391404	113	21.647291	-2.6
3.6	-7.4985547	122	21.603773	2.6
-5.7	-3.0802133	116	21.044245	-2.6
-4	-2.7406337	125	21.001518	2.6
-6.3	-5.1179824	112	21.301321	-2.6
-4.5	-4.7782598	126	21.258366	2.6
-1.5	-2.4010365	117	20.958813	-2.6
0.2	-2.0614092	130	20.916126	2.6
-2.5	-4.4385905	122	21.215462	-2.6
-1	-4.0989642	138	21.172602	2.6
2.9	-1.7217404	115	20.873451	-2.6
4.5	-1.3820176	128	20.830786	2.6
2.5	-3.7593663	117	21.129782	-2.6
3.5	-3.4197867	139	21.086998	2.6
-5.5	0.998555	118	20.531982	-2.6
-4.3	1.339141	135	20.489222	2.6
-6.5	-1.0422293	131	20.788124	-2.6
-5	-0.70236301	134	20.745461	2.6
-1.4	1.679889	120	20.446428	-2.6
0.1	2.0208123	131	20.403601	2.6
-2.1	-0.36240739	127	20.702793	-2.6
-0.8	-0.022349782	137	20.660116	2.6
-8.4	-22.737886	94	16.019152	-2.6
-5.5	-22.226072	94	15.954137	2.6
3.5	-11.513928	120	14.680806	-2.6
6	-11.002114	90	14.623099	2.6
-1.5	-21.714685	102	15.889649	-2.6
1	-21.203688	86	15.82566	2.6
-2.5	-24.790272	106	16.284933	-2.6
0	-24.276321	84	16.217583	2.6
5.4	-20.693031	105	15.762167	-2.6
7.4	-20.182682	80	19		2.6
4	-23.762968	104	16.15085	-2.6
7	-23.250172	86	16.084715	2.6
-8.5	-16.615318	115	15.26925	-2.6
-5.5	-16.105938	92	15.209245	2.6
-10	-19.672594	115	15.63654	-2.6
-7.5	-19.162729	86	15.574372	2.6
-2	-15.596496	110	15.14954	-2.6
0.8	-15.086954	86	15.090119	2.6
-3.2	-18.653046	114	15.51261	-2.6
0.3	-18.143503	90	15.451235	2.6
4.5	-14.577271	110	15.030966	-2.6
8	-14.067405	89	14.972065	2.6
3.5	-17.634062	116	15.390228	-2.6
6.4	-17.124681	94	15.329572	2.6
-8.4	-10.489829	115	14.565539	-2.6
-6	-9.9770317	94	14.508112	2.6
-9.5	-13.557318	119	14.913401	-2.6
-7	-13.046968	94	14.854958	2.6
-2	-9.4636793	112	14.450804	-2.6
0.6	-8.949728	89	14.3936		2.6
-3.2	-12.536313	120	14.796721	-2.6
-0.4	-12.025314	97	14.738676	2.6
